id,original_title,genres,cast,director,screenplay,keywords
19995,Avatar,"['Action', 'Adventure', 'Fantasy', 'ScienceFiction']","['SamWorthington', 'ZoeSaldana', 'SigourneyWeaver', 'StephenLang', 'MichelleRodriguez']",['James Cameron'],['James Cameron'],"['cultureclash', 'future', 'spacewar', 'spacecolony', 'society', 'spacetravel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alienplanet', 'cgi', 'marine', 'soldier', 'battle', 'loveaffair', 'antiwar', 'powerrelations', 'mindandsoul', '3d']"
285,Pirates of the Caribbean: At World's End,"['Adventure', 'Fantasy', 'Action']","['JohnnyDepp', 'OrlandoBloom', 'KeiraKnightley', 'StellanSkarsgård', 'ChowYun-fat']",['Gore Verbinski'],['Terry Rossio'],"['ocean', 'drugabuse', 'exoticisland', 'eastindiatradingcompany', '""loveofoneslife""', 'traitor', 'shipwreck', 'strongwoman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger']"
206647,Spectre,"['Action', 'Adventure', 'Crime']","['DanielCraig', 'ChristophWaltz', 'LéaSeydoux', 'RalphFiennes', 'MonicaBellucci']",['Sam Mendes'],['Jez Butterworth'],"['spy', 'basedonnovel', 'secretagent', 'sequel', 'mi6', 'britishsecretservice', 'unitedkingdom']"
49026,The Dark Knight Rises,"['Action', 'Crime', 'Drama', 'Thriller']","['ChristianBale', 'MichaelCaine', 'GaryOldman', 'AnneHathaway', 'TomHardy']",['Christopher Nolan'],['Jonathan Nolan'],"['dccomics', 'crimefighter', 'terrorist', 'secretidentity', 'burglar', 'hostagedrama', 'timebomb', 'gothamcity', 'vigilante', 'cover-up', 'superhero', 'villainess', 'tragichero', 'terrorism', 'destruction', 'catwoman', 'catburglar', 'imax', 'flood', 'criminalunderworld', 'batman']"
49529,John Carter,"['Action', 'Adventure', 'ScienceFiction']","['TaylorKitsch', 'LynnCollins', 'SamanthaMorton', 'WillemDafoe', 'ThomasHadenChurch']",['Andrew Stanton'],['Mark Andrews'],"['basedonnovel', 'mars', 'medallion', 'spacetravel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgarriceburroughs', 'alienrace', 'superhumanstrength', 'marscivilization', 'swordandplanet', '19thcentury', '3d']"
559,Spider-Man 3,"['Fantasy', 'Action', 'Adventure']","['TobeyMaguire', 'KirstenDunst', 'JamesFranco', 'ThomasHadenChurch', 'TopherGrace']",['Sam Raimi'],['Ivan Raimi'],"['dualidentity', 'amnesia', 'sandstorm', '""loveofoneslife""', 'forgiveness', 'spider', 'wretch', 'deathofafriend', 'egomania', 'sand', 'narcism', 'hostility', 'marvelcomic', 'sequel', 'superhero', 'revenge']"
38757,Tangled,"['Animation', 'Family']","['ZacharyLevi', 'MandyMoore', 'DonnaMurphy', 'RonPerlman', 'M.C.Gainey']",['Nathan Greno'],['Dan Fogelman'],"['hostage', 'magic', 'horse', 'fairytale', 'musical', 'princess', 'animation', 'tower', 'blondewoman', 'selfishness', 'healingpower', 'basedonfairytale', 'duringcreditsstinger', 'healinggift', 'animalsidekick']"
767,Harry Potter and the Half-Blood Prince,"['Adventure', 'Fantasy', 'Family']","['DanielRadcliffe', 'RupertGrint', 'EmmaWatson', 'TomFelton', 'MichaelGambon']",['David Yates'],['Steve Kloves'],"['witch', 'magic', 'broom', 'schoolofwitchcraft', 'wizardry', 'apparition', 'teenagecrush', 'werewolf']"
209112,Batman v Superman: Dawn of Justice,"['Action', 'Adventure', 'Fantasy']","['BenAffleck', 'HenryCavill', 'GalGadot', 'AmyAdams', 'JesseEisenberg']",['Zack Snyder'],['Chris Terrio'],"['dccomics', 'vigilante', 'superhero', 'basedoncomicbook', 'revenge', 'superpowers', 'clarkkent', 'brucewayne', 'dcextendeduniverse']"
1452,Superman Returns,"['Adventure', 'Fantasy', 'Action', 'ScienceFiction']","['BrandonRouth', 'KevinSpacey', 'KateBosworth', 'JamesMarsden', 'ParkerPosey']",['Bryan Singer'],['Dan Harris'],"['savingtheworld', 'dccomics', 'invulnerability', 'sequel', 'superhero', 'basedoncomicbook', 'kryptonite', 'superpowers', 'superhumanstrength', 'lexluthor']"
10764,Quantum of Solace,"['Adventure', 'Action', 'Thriller', 'Crime']","['DanielCraig', 'OlgaKurylenko', 'MathieuAmalric', 'JudiDench', 'GiancarloGiannini']",['Marc Forster'],['Neal Purvis'],"['killing', 'undercover', 'secretagent', 'britishsecretservice']"
