title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Avatar,John Carter,Superman Returns,Man of Steel,Pirates of the Caribbean: On Stranger Tides,Titanic,X-Men: Days of Future Past,Star Trek Into Darkness,Star Trek Beyond,Guardians of the Galaxy,Clash of the Titans,The Wolverine,Ender's Game,True Lies,The Fifth Element,The Time Machine,The Abyss,Superman,Superman II,Aliens,Beastmaster 2: Through the Portal of Time
Pirates of the Caribbean: At World's End,Spider-Man 3,Batman v Superman: Dawn of Justice,Pirates of the Caribbean: Dead Man's Chest,The Lone Ranger,Pirates of the Caribbean: On Stranger Tides,The Amazing Spider-Man,Spider-Man 2,The Amazing Spider-Man 2,The Mummy: Tomb of the Dragon Emperor,The Hobbit: An Unexpected Journey,Thor: The Dark World,Thor,Pirates of the Caribbean: The Curse of the Black Pearl,The Lord of the Rings: The Fellowship of the Ring,The Road to El Dorado,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,Cutthroat Island,The Mexican,Dungeons & Dragons: Wrath of the Dragon God
Spectre,Quantum of Solace,The Legend of Tarzan,Mission: Impossible - Rogue Nation,Sherlock Holmes: A Game of Shadows,Clash of the Titans,Charlie's Angels: Full Throttle,The Green Hornet,Casino Royale,Sherlock Holmes,Road to Perdition,The Legend of Zorro,The Mask of Zorro,The Jackal,Revolutionary Road,The Glimmer Man,The Art of War,Speed,Kick-Ass 2,RoboCop 3,American Beauty
The Dark Knight Rises,The Dark Knight,Inception,Batman Begins,The Fast and the Furious: Tokyo Drift,The Siege,Need for Speed,Man on Fire,Child 44,Insomnia,The Prestige,Blood and Wine,Out of the Furnace,Hitman,The Killer Inside Me,Romeo Is Bleeding,American Psycho,Harry Brown,Layer Cake,Memento,Bronson
John Carter,Captain America: Civil War,Battleship,Iron Man 3,Transformers: Age of Extinction,Star Trek Into Darkness,Pacific Rim,Captain America: The Winter Soldier,The Hunger Games: Mockingjay - Part 2,Transformers,X-Men Origins: Wolverine,Captain America: The First Avenger,Ant-Man,Total Recall,Ender's Game,Finding Nemo,Divergent,Journey 2: The Mysterious Island,Independence Day,AVP: Alien vs. Predator,Damnation Alley
Spider-Man 3,Pirates of the Caribbean: At World's End,Batman v Superman: Dawn of Justice,Superman Returns,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: On Stranger Tides,The Amazing Spider-Man,Spider-Man 2,Oz: The Great and Powerful,The Amazing Spider-Man 2,Thor: The Dark World,Thor,Spider-Man,4: Rise of the Silver Surfer,The Wolverine,The Lord of the Rings: The Fellowship of the Ring,Superman II,The Quick and the Dead,Red Sonja,Army of Darkness,Evil Dead II
Tangled,Monsters University,Toy Story 3,WALL·E,Frozen,Kung Fu Panda 2,Madagascar 3: Europe's Most Wanted,Turbo,Dinosaur,The Princess and the Frog,Finding Nemo,Lilo & Stitch,Despicable Me,Coraline,Anastasia,"Crazy, Stupid, Love.",The Guilt Trip,Last Vegas,Sammy's avonturen: De geheime doorgang,Alpha and Omega,Pooh's Heffalump Movie
Harry Potter and the Half-Blood Prince,The Chronicles of Narnia: Prince Caspian,Alice in Wonderland,Oz: The Great and Powerful,The Legend of Tarzan,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",The Chronicles of Narnia: The Voyage of the Dawn Treader,Harry Potter and the Order of the Phoenix,Harry Potter and the Goblet of Fire,Pan,The BFG,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Philosopher's Stone,Harry Potter and the Chamber of Secrets,The Spiderwick Chronicles,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson: Sea of Monsters,The House of Magic,A Simple Wish,千と千尋の神隠し,The Wizard of Oz
Batman v Superman: Dawn of Justice,Spider-Man 3,Superman Returns,Man of Steel,The Amazing Spider-Man,Spider-Man 2,The Amazing Spider-Man 2,Thor: The Dark World,Thor,Watchmen,Legend of the Guardians: The Owls of Ga'Hoole,Batman Returns,Sucker Punch,300,Superman,Superman II,Argo,Superman III,Batman,Dawn of the Dead,Red Sonja
Superman Returns,Batman v Superman: Dawn of Justice,Man of Steel,The Avengers,Captain America: Civil War,Spider-Man 2,The Amazing Spider-Man 2,X-Men: Days of Future Past,Jack the Giant Slayer,Iron Man 2,Thor: The Dark World,Ant-Man,X2,The Wolverine,X-Men,Superman,Superman II,The Shadow,Superman III,Superman IV: The Quest for Peace,Beastmaster 2: Through the Portal of Time
Quantum of Solace,Spectre,World War Z,The Fast and the Furious,Die Another Day,The World Is Not Enough,Mission: Impossible II,Casino Royale,Point Break,Mission: Impossible,The Glimmer Man,Licence to Kill,The Art of War,Hanna,Machine Gun Preacher,For Your Eyes Only,Octopussy,Half Past Dead,The November Man,Thunderball,Goldfinger
